feature,importance
HbA1c_level,0.38928656465741157
blood_glucose_level,0.2982716796423863
age,0.1534718451826374
bmi,0.07987032400582121
hypertension,0.03106559694127932
heart_disease,0.020416046053901266
smoking_history_No Info,0.014941051861396538
smoking_history_former,0.004224529441631113
gender_Female,0.002586389093657211
gender_Male,0.00209949983495745
smoking_history_never,0.001273429557193668
smoking_history_not current,0.0009682161732785173
smoking_history_current,0.0008354951499375603
smoking_history_ever,0.000684456380799513
gender_Other,4.876023711489473e-06
